위치,조항,제목,내용
서울대학교 학칙,1,목적,"이 학칙은 서울대학교의 교육목표를 설정하고 이를 달성하기 위한 교육조직, 학사운영 등에 관한 사항 을 규정함을 목적으로 한다."
서울대학교 학칙,2,교육목표,서울대학교는 학문의 이론과 방법을 교수하며 사회의 각 부문에 필요한 인재를 양성하고 학술연구 를 진작함으로써 자아의 실현과 국가의 발전 및 인류의 번영에 기여함을 교육목표로 한다.
서울대학교 학칙,3,교육조직의 설치,"① 대학, 일반대학원 및 전문대학원(이하 “대학원”이라 한다), 학부 및 학과(이하 “학과(부)”라 한다)를 설치하고자 할 때에는 학문의 분류상 전문적인 독립성, 학문의 성격, 교육조직의 일반관례, 사회적 수요 및 서울대학교(이하 “본교”라 한다)의 교육목표·장기계획 등에 비추어 그 필요성이 인정되어야 하며, 전임교원 및 학생의 수, 교육시설 등이 적정 수준에 도달하여야 한다. ② 대학·대학원(이하 “대학(원)”이라 한다)에는 학과(부)를 둔다. 다만, 자유전공학부와 첨단융합학부는 대학에 준 하는 단위로 운영한다. [개정 2023. 8. 31.] ③ 학사과정 또는 대학원과정 내에 동일 명칭의 학부 또는 학과를 중복하여 설치할 수 없다. ④ 학과(부)에는 전공 또는 교과과정상 전공을 둘 수 있다. 다만, 학사과정 또는 대학원과정 내에 동일 명칭의 전 공을 중복하여 설치할 수 없다. ⑤ 학과(부) 내에 전공을 따로 두고자 할 때에는 제1항에 준한다. ⑥ 제1항에도 불구하고 총장이 필요하다고 인정하는 경우, 입학 시 모집단위가 아닌 교육조직을 둘 수 있다. [신 설 2022. 1. 3.]"
서울대학교 학칙,4,학위과정의 설치 등,"① 학과(부) 또는 전공에 학위과정을 설치하고자 할 때에는 학문의 성격과 본교의 교육목 표 등에 비추어 그 필요성이 인정되어야 하며, 전임교원 및 학생의 수, 교육시설 등이 적정수준에 도달하여야 한 다. ② 대학원과정에 두는 학위과정으로 학과 또는 전공 외에 2개 이상의 학과(부) 또는 전공이 공동으로 설치·운영하 는 협동과정을 둘 수 있다. ③ 대학원과정에 두는 학위과정으로 국가, 지방자치단체, 연구기관 또는 산업체 등과의 계약에 의한 학과 또는 협동과정을 둘 수 있으며, 이의 운영에 관한 사항은 따로 정한다. 다만, 6년제 학사과정의 경우, 계약에 의한 학위 과정을 둘 수 있다. ④ 각급 학위과정에 외국의 대학과 공동으로 교육과정을 운영할 수 있으며, 이에 관한 사항은 따로 정한다. ⑤ 제2항의 협동과정 및 제3항의 계약에 의한 학과 또는 협동과정의 경우, 총장은 그 운영실적을 매 2년 마다 평 가하여 존속 여부를 결정하며, 이에 관한 사항은 따로 정한다. ⑥ 박사학위과정을 신설하려는 경우 「대학설립·운영규정」별표1의2에 따른 교원 중 2분의 1이상은 박사학위과정 의 설치 학기 개시일을 기준으로 최근 5년간 계열별로 다음 각 호의 연구 관련 실적 및 기준을 충족하는 자로 한 다. 이 경우 논문 또는 이에 준하는 연구 실적에 대한 인정범위와 구체적인 기준은 교육부장관이 고시한 바에 따 른다.[신설 2024.2.29.]법제처                                                            2                                                       국가법령정보센터  서울대학교 학칙  1. 인문·사회계열: 4편 이상 2. 자연과학·공학·의학계열: 6편 이상 3. 예·체능계열: 3편 이상"
서울대학교 학칙,5,학위과정의 연계 및 통합,"① 학사과정과 대학원과정이 상호 연계된 학사·석사 연계과정과 학사·석사·박사통합 연계과정을 둘 수 있다. [개정 2022. 1. 3.] ② 학위과정으로 학사과정 및 석사과정이 통합된 과정(이하 “학사·석사통합과정”이라 한다)과 석사과정 및 박사 과정이 통합된 과정(이하 “석사·박사통합과정”이라 한다)을 둘 수 있다. ③ 치의학대학원에 전문석사학위 과정과 학술박사학위 과정을 동시에 이수하는 복합학위과정을 둘 수 있다.[개 정 2023. 8. 31.] ④ 학사·석사 연계과정, 학사·석사·박사통합 연계과정, 학사·석사통합과정, 석사·박사통합과정 및 복합학위과정 운 영에 관한 사항은 따로 정한다. [개정 2022. 1. 3.] 〔전문개정 2013. 4. 24.〕"
서울대학교 학칙,6,전임교원의 소속 및 교수시간,"① 전임교원은 대학(원), 대학(원)의 학과(부), 자유전공학부 또는 첨단융합학부 에 소속된다. [개정 2024. 2. 29.] ② 총장은 전임교원의 소속을 변경하거나 겸무를 명할 수 있다. ③ 겸무교원의 인사와 교수활동에 관한 사항은 따로 정한다. ④ 전임교원의 교수시간은 매 학년도 기준으로 주당 9시간을 원칙으로 한다. 다만, 총장이 필요하다고 인정하는 경우에는 따로 정할 수 있다.   제6조의2(교원 채용의 양성평등) 「국립대학법인 서울대학교 설립·운영에 관한 법률」 제15조의3제2항에 따른 교원의 성별 구성에 관한 연도별 목표비율은 별표 5와 같다. [신설 2020. 7. 30.]"
서울대학교 학칙,7,명예교수,본교에 명예교수를 두며 추대에 관한 사항은 따로 정한다.
서울대학교 학칙,8,연구년,"전임교원이 일정기간 동안 연구에 집중할 수 있도록 연구년 제도를 두며, 이에 관한 사항은 따로 정한 다.[개정 2024. 2. 29.]"
서울대학교 학칙,9,교과과정의 운영,"① 교과과정은 각 학과(부) 단위에서 종적으로  각급 학위과정 간에 일관성 있게 조정 운영 되어야 하며, 횡적으로 각 학과(부)와 각 대학·전문대학원 또는 기초교육원 간에 상호 조정 운영되어야 한다. [개정 2020. 6. 11.] ② 기초교양교육을 위한 교과과정 및 공통교과목은 통합 운영함을 원칙으로 한다. [개정 2020. 6. 11.] ③ 교과과정의 편성과 운영에 관한 사항은 따로 정한다."
서울대학교 학칙,10,교육 등의 위탁,"① 학사과정 학생의 기초교양교육 등을 위하여 입학 후 일정기간 동안 타 대학 또는 기초교 육원에 교육을 위탁할 수 있다. ② 대학원과정의 교육 및 대학원 소속 전임교원의 인사관리는 일반대학원의 원장(이하 “대학원장”이라 한다)이 각 학장과 전문대학원의 원장(이하 “전문대학원장”이라 한다)에게 위탁하여 시행한다. 다만, 대학원과정의 교육 중 제9조의 공통교과목 교육은 기초교육원장에게 위탁하여 시행할 수 있다. [개정 2020. 6. 11.] ③ 학장은 대학원 소속 전임교원에게 학사과정의 교육을 담당하게 할 수 있다."
서울대학교 학칙,12,총장,"총장은 교무를 통할하고, 소속 교직원을 감독하며 학생을 지도하고 본교를 대표한다."
서울대학교 학칙,13,부총장,"① 총장의 직무를 보조하기 위하여 교육부총장, 연구부총장 및 기획부총장을 둔다. ② 교육부총장은 교무, 학생, 기초교육, 입학, 국내외 교류협력 및 학술정보에 관한 사항을 관장한다. 〔개정 2021. 3. 1.〕 ③ 연구부총장은 연구, 산학협력, 창업, 정보화 및 시흥캠퍼스에 관한 사항을 관장한다.〔개정 2019. 4. 1., 2020. 2. 27., 2022. 6. 8.]〕 ④ 기획부총장은 대학운영의 기획·조정, 소통협력, 일반행정, 재정 및 시설에 관한 사항을 관장한다.〔개정 2019. 4. 1.〕               제2절 교육조직"
서울대학교 학칙,14,대학·대학원 등,"① 본교에 인문대학·사회과학대학·자연과학대학·간호대학·경영대학·공과대학·농업생명과학대 학·미술대학·사범대학·생활과학대학·수의과대학·약학대학·음악대학·의과대학·자유전공학부·첨단융합학부를 둔다.〔 개정 2013. 4. 24.,2017. 10. 19.,2023. 8. 31.〕 ② 본교에 일반대학원과 전문대학원으로 보건대학원·행정대학원·환경대학원·국제대학원·치의학대학원·경영전문 대학원·법학전문대학원·융합과학기술대학원·국제농업기술대학원·공학전문대학원·데이터사이언스대학원을 둔다.〔 개정 2014. 6. 25.,2015. 10. 13.,2019. 12. 26. ,2023. 8. 31.〕 ③ 대학에 별표1의 학부·학과·전공을 둔다. ④ 본교에 제3조제6항에 따라 설치된 혁신공유학부를 두며, 그 운영에 관한 사항은 따로 정한다. [신설 2021. 1. 3.]"
서울대학교 학칙,15,학생의 소속,"학사과정 학생은 규정에 따로 정하는 바에 따라 별표2에서 정한 1개의 모집단위 또는 별표1의 대학별 설치 학과(부)·전공에 소속되며, 대학원과정 학생은 별표3 또는 별표4에서 정한 1개의 학과(부)·전공 또는 협동과정에 소속된다.〔개정 2016. 9. 6.〕"
서울대학교 학칙,16,학사과정 모집단위 및 입학정원,① 학사과정의 모집단위별 입학정원은 별표2와 같다. ② 학사과정의 모집단위별 모집인원은 학생모집시에 정한다.
서울대학교 학칙,17,대학원과정 입학정원,"① 대학원과정의 입학정원은 별표3 및 별표4와 같다. ② 대학원과정의 학생모집단위별 구분과 모집인원은 학생모집시에 정한다. 다만, 모집인원에 여석이 있을 때에는 별도로 정하는 바에 따라 조정할 수 있다."
